base,,base1,,sub,,sub1,,AU,,SiNCmex,,AuNP,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
800,122.8059082,800,116.7327652,800,106.7304764,800,100.0262375,800,96.85707855,800,52.128685,800,97.21472931,
799,122.8753815,799,116.7567139,799,106.75354,799,100.0641251,799,96.81639862,799,52.13354874,799,97.20202637,
798,122.8662109,798,116.7903442,798,106.9131393,798,100.1203766,798,96.83242035,798,52.09788513,798,97.19441223,
797,122.889473,797,116.8061523,797,106.9599304,797,100.161972,797,96.83785248,797,52.10795975,797,97.25694275,
796,122.9195938,796,116.7540283,796,106.9814301,796,100.2196579,796,96.82019043,796,52.12490463,796,97.23107147,
795,122.9059677,795,116.9360657,795,106.9727554,795,100.2042313,795,96.84920502,795,52.11194229,795,97.25637817,
794,122.9045715,794,116.860733,794,106.9368515,794,100.2011642,794,96.86894226,794,52.06012726,794,97.30963135,
793,122.8660736,793,116.8610229,793,106.9143143,793,100.2086258,793,96.87238312,793,52.08832169,793,97.33324432,
792,122.9398575,792,116.8791656,792,107.0759506,792,100.3437653,792,96.90408325,792,52.07627487,792,97.31404114,
791,122.9357452,791,116.9437637,791,107.121254,791,100.3290176,791,96.89509583,791,52.0753212,791,97.38166046,
790,122.9002991,790,116.9809113,790,107.0518494,790,100.3270493,790,96.93630219,790,52.05810165,790,97.37757111,
789,123.0185623,789,116.9991989,789,107.0697098,789,100.3000946,789,96.96482849,789,52.08375549,789,97.41113281,
788,122.9643097,788,117.0338058,788,107.1904678,788,100.4258881,788,96.97504425,788,52.10535431,788,97.42406464,
787,122.966507,787,117.0704346,787,107.2733994,787,100.4832382,787,97.01811218,787,52.06829834,787,97.45825195,
786,122.995697,786,117.1726074,786,107.2192917,786,100.4780884,786,97.00558472,786,52.11061859,786,97.48638916,
785,123.0692902,785,117.1258545,785,107.188858,785,100.452652,785,97.04315948,785,52.06801224,785,97.46717834,
784,123.0625381,784,117.182251,784,107.1751328,784,100.4052124,784,97.05873108,784,52.07172012,784,97.49480438,
783,123.0776901,783,117.208252,783,107.3504715,783,100.5607834,783,97.04601288,783,52.10874557,783,97.53923035,
782,123.0732651,782,117.1838913,782,107.3568726,782,100.5824127,782,97.04813385,782,52.08761597,782,97.56498718,
781,123.1394501,781,117.2943268,781,107.3540649,781,100.5872574,781,97.10923767,781,52.09420776,781,97.56962585,
780,123.1384888,780,117.3405533,780,107.3346252,780,100.5661621,780,97.07893372,780,52.07073593,780,97.60782623,
779,123.1507034,779,117.3300629,779,107.3428497,779,100.5909424,779,97.11215973,779,52.10599899,779,97.62664795,
778,123.1565857,778,117.3356171,778,107.5056763,778,100.7214661,778,97.22199249,778,52.09119415,778,97.64291382,
